start [ 0.   -0.6   0.45  0.  ]  wall y=0.000  window c(x,z)=[0.  0.7] r=0.2  N=35 seed=20260728
loaded /home/home/mbd/koopman/mbd_koopman/drone/saved/drone_window_bk_seed0.pt
exp: 70 trials to run (0 done, 70 total) -> /home/home/mbd/koopman/mbd_koopman/drone/out/window/trials.jsonl
[54/70] bk_qp_sqp t18 [0.06 0.4  0.54]: err=0.4257 viol=0 steps=120 ms=18 -> stall
[55/70] bk_qp_sqp t19 [0.05 0.36 0.38]: err=0.3879 viol=0 steps=120 ms=18 -> stall
[56/70] bk_qp_sqp t20 [0.07 0.42 0.43]: err=0.4526 viol=0 steps=120 ms=18 -> stall
[57/70] bk_qp_sqp t21 [-0.06  0.44  0.58]: err=0.0087 viol=0 steps=23 ms=19 -> REACH
[58/70] bk_qp_sqp t22 [0.13 0.39 0.34]: err=0.4244 viol=0 steps=120 ms=18 -> stall
[59/70] bk_qp_sqp t23 [-0.    0.38  0.31]: err=0.4112 viol=0 steps=120 ms=18 -> stall
[60/70] bk_qp_sqp t24 [-0.13  0.36  0.51]: err=0.3856 viol=0 steps=120 ms=18 -> stall
[61/70] bk_qp_sqp t25 [-0.11  0.44  0.37]: err=0.4707 viol=0 steps=120 ms=18 -> stall
[62/70] bk_qp_sqp t26 [0.07 0.44 0.27]: err=0.4654 viol=0 steps=120 ms=18 -> stall
[63/70] bk_qp_sqp t27 [0.12 0.44 0.41]: err=0.4730 viol=0 steps=120 ms=18 -> stall
[64/70] bk_qp_sqp t28 [0.   0.37 0.25]: err=0.4031 viol=0 steps=120 ms=19 -> stall
[65/70] bk_qp_sqp t29 [0.03 0.3  0.5 ]: err=0.3336 viol=0 steps=120 ms=18 -> stall
[66/70] bk_qp_sqp t30 [0.12 0.42 0.38]: err=0.4545 viol=0 steps=120 ms=18 -> stall
[67/70] bk_qp_sqp t31 [-0.1   0.34  0.33]: err=0.3718 viol=0 steps=120 ms=18 -> stall
[68/70] bk_qp_sqp t32 [0.   0.43 0.53]: err=0.4571 viol=0 steps=120 ms=18 -> stall
[69/70] bk_qp_sqp t33 [0.12 0.35 0.32]: err=0.3829 viol=0 steps=120 ms=19 -> stall
[70/70] bk_qp_sqp t34 [0.05 0.31 0.46]: err=0.3430 viol=0 steps=120 ms=18 -> stall

done: 70 trials in 1.9 min. metrics -> /home/home/mbd/koopman/mbd_koopman/drone/out/window/trials.jsonl, trajs -> /home/home/mbd/koopman/mbd_koopman/drone/out/window/trajs.npz
