task,method,seed,case_id,success,strict_success,final_error,angle_error,steps,planning_time_ms,total_cost,train_loss,val_multistep_error,koopman_open_loop_error,tube_cost,max_tube
arm,bk_mbd,0,target_0,True,True,0.023342897150724715,nan,64,20.64398101356346,96.81698977947235,0.0038444030331447722,0.004282394889742136,0.05892683767409565,0.011953594325482845,219.050048828125
arm,bk_mbd,0,target_1,True,True,0.02319356493323337,nan,87,18.21509543699266,123.71285897493362,0.0038444030331447722,0.004282394889742136,0.05892683767409565,0.011627180468899084,360.4942321777344
arm,bk_mbd,0,target_2,True,True,0.024655198535766407,nan,116,17.870037431090044,126.32019209861755,0.0038444030331447722,0.004282394889742136,0.05892683767409565,0.010315536975038463,985.2221069335938
arm,bk_mbd,0,target_3,True,True,0.02479382443829156,nan,89,17.977700155395805,131.92757213115692,0.0038444030331447722,0.004282394889742136,0.05892683767409565,0.029692273084233313,2425.2919921875
arm,bk_mbd,0,target_4,True,True,0.023560935500747907,nan,84,18.81449047609099,94.35817712545395,0.0038444030331447722,0.004282394889742136,0.05892683767409565,0.007446029982112704,469.7444152832031
arm,bk_mbd,0,target_5,True,True,0.021167528898691647,nan,62,19.18791801548533,162.12748783826828,0.0038444030331447722,0.004282394889742136,0.05892683767409565,0.03126578697235354,624.4137573242188
arm,bk_mbd,0,target_6,False,False,0.06463925164963866,nan,120,18.642335249266278,125.91685253381729,0.0038444030331447722,0.004282394889742136,0.05892683767409565,0.0026767539119720457,111.94853210449219
arm,bk_mbd,1,target_0,True,True,0.022905390900519684,nan,74,17.30944078126167,114.55656391382217,0.0037941141054034233,0.004470661282539368,0.06018682591244914,0.01524157744484979,598.9568481445312
arm,bk_mbd,1,target_1,True,True,0.024765204744874692,nan,85,18.404629834763266,119.43401181697845,0.0037941141054034233,0.004470661282539368,0.06018682591244914,0.012332959276087147,711.2698974609375
arm,bk_mbd,1,target_2,True,False,0.032079016856340646,nan,120,18.099437475514907,130.16009837388992,0.0037941141054034233,0.004470661282539368,0.06018682591244914,0.003990979037284851,102.92686462402344
arm,bk_mbd,1,target_3,True,True,0.02124338190873749,nan,92,18.83024155445721,138.09012401103973,0.0037941141054034233,0.004470661282539368,0.06018682591244914,0.008562259309188181,276.7281799316406
arm,bk_mbd,1,target_4,True,True,0.023935679795856896,nan,82,18.2154312326641,103.05225551128387,0.0037941141054034233,0.004470661282539368,0.06018682591244914,0.00419699650275998,127.18946075439453
arm,bk_mbd,1,target_5,True,True,0.022868621218148935,nan,63,17.64539074492715,166.97046607732773,0.0037941141054034233,0.004470661282539368,0.06018682591244914,0.024227798749530127,361.0594177246094
arm,bk_mbd,1,target_6,False,False,0.05892795808256497,nan,120,18.227207808134455,116.2258642911911,0.0037941141054034233,0.004470661282539368,0.06018682591244914,0.003467320835590363,148.91494750976562
arm,bk_mbd,2,target_0,True,True,0.022526725173939992,nan,65,17.994234832720114,93.63000389933586,0.003805509023368359,0.004468545317649841,0.060141343973233834,0.029053107298337495,1726.5767822265625
arm,bk_mbd,2,target_1,True,True,0.0249714660245757,nan,81,17.796270491808286,101.25788468122482,0.003805509023368359,0.004468545317649841,0.060141343973233834,0.011013065454694961,393.47930908203125
arm,bk_mbd,2,target_2,True,True,0.02402362010376212,nan,87,18.31710363213701,90.85468670725822,0.003805509023368359,0.004468545317649841,0.060141343973233834,0.003511057741888638,50.5284309387207
arm,bk_mbd,2,target_3,True,True,0.02489439052531975,nan,86,19.50690050089602,114.72534617781639,0.003805509023368359,0.004468545317649841,0.060141343973233834,0.007503529047411542,198.8335418701172
arm,bk_mbd,2,target_4,True,True,0.022368937305791477,nan,76,19.652005934499595,73.9526798427105,0.003805509023368359,0.004468545317649841,0.060141343973233834,0.005852342797580519,164.7020263671875
arm,bk_mbd,2,target_5,True,True,0.022494501978306176,nan,54,17.463727759335328,135.92068719863892,0.003805509023368359,0.004468545317649841,0.060141343973233834,0.024886264373638015,287.4275817871094
arm,bk_mbd,2,target_6,True,False,0.035910609099165505,nan,120,18.549108000782628,102.80903750658035,0.003805509023368359,0.004468545317649841,0.060141343973233834,0.0024824710949261984,77.65541076660156
arm,bk_mbd,3,target_0,True,True,0.02423278677151112,nan,86,17.61045168847019,161.63736790418625,0.0037195479962974787,0.004733286798000336,0.06194544368001123,0.015349524239606638,680.1954345703125
arm,bk_mbd,3,target_1,True,False,0.04019567077317356,nan,120,17.435657491053764,211.05028003454208,0.0037195479962974787,0.004733286798000336,0.06194544368001123,0.00944077016512553,462.2599792480469
