method,num_trials,success_rate,final_error_mean,final_error_std,final_error_mean_success,planning_time_ms_mean,koopman_open_loop_error_mean,tube_cost_mean,max_tube
vanilla_mbd_true,20,1.0,0.06985464641804237,0.008421292483132697,0.06985464641804237,81.34578846050981,nan,nan,nan
dk_mbd,20,0.0,2.38291161142621,1.705971791688714,nan,42.975128560727974,0.08220176795089848,nan,nan
dk_mbd_split,20,1.0,0.06572329460989983,0.01023806063051651,0.06572329460989983,58.17930791858947,nan,nan,nan
bk_mbd,20,1.0,0.07103581849214495,0.02573876468227103,0.07103581849214495,94.90177678836162,0.0019836539715475643,0.965843466309717,134.09239196777344
