method,num_trials,park_rate,final_error_mean,final_error_std,final_error_mean_parked,planning_time_ms_mean,koopman_open_loop_error_mean,tube_cost_mean,max_tube
vanilla_mbd_true,20,1.0,0.07140369565312679,0.012481106025641214,0.07140369565312679,75.32196809780656,nan,nan,nan
dk_mbd,20,0.0,2.0770932312124075,1.2166620576653233,nan,38.03589195653329,0.08220176795089848,nan,nan
bk_mbd,20,1.0,0.07422035700102905,0.010561635815559864,0.07422035700102905,88.06236425071769,0.0019836539715475643,0.5248495640863069,50.19807815551758
