task,method,seed,case_id,success,strict_success,final_error,angle_error,steps,planning_time_ms,total_cost,train_loss,val_multistep_error,koopman_open_loop_error,tube_cost,max_tube
unicycle,vanilla_mbd_true,0,case_0,True,True,0.07805289237817352,0.061352538253097055,79,476.06091175959267,3212.5728731155396,nan,nan,nan,nan,nan
unicycle,vanilla_mbd_true,0,case_1,True,False,0.09199665785376208,0.017836768443159734,180,477.8111278389891,1328.3799061775208,nan,nan,nan,nan,nan
unicycle,vanilla_mbd_true,0,case_2,True,True,0.0792934910120644,0.016352513085458487,65,478.30872610927776,2011.6022953987122,nan,nan,nan,nan,nan
unicycle,vanilla_mbd_true,0,case_3,True,True,0.04305950696919792,0.19714089637915144,63,480.76518361885394,2031.8202955722809,nan,nan,nan,nan,nan
unicycle,dk_mbd,0,case_0,False,False,4.671755249462631,1.5304444172358274,180,37.45034469498528,319809.0138244629,0.007854289625986265,0.007408690173178911,0.08218002648035845,nan,nan
unicycle,dk_mbd,0,case_1,False,False,5.370103428198483,0.9606930459518264,180,39.1346484163983,283832.9623260498,0.007854289625986265,0.007408690173178911,0.08218002648035845,nan,nan
unicycle,dk_mbd,0,case_2,False,False,1.9716084096245283,0.8066073314536761,180,37.20060755472837,27291.261848449707,0.007854289625986265,0.007408690173178911,0.08218002648035845,nan,nan
unicycle,dk_mbd,0,case_3,False,False,3.320931662274995,1.8556314445799895,180,36.0112538224914,227575.6724243164,0.007854289625986265,0.007408690173178911,0.08218002648035845,nan,nan
unicycle,bk_mbd,0,case_0,True,True,0.07906871744996932,0.06205089807632724,80,83.74366083880886,3336.8761118650436,5.706545450196315e-06,4.409671419125516e-06,0.0019864061367784753,0.6927369927763939,36.23250198364258
unicycle,bk_mbd,0,case_1,True,False,0.10033146322935627,0.020792017707098598,180,84.01043330086395,1373.9049088954926,5.706545450196315e-06,4.409671419125516e-06,0.0019864061367784753,0.08326344870196448,4.572400093078613
unicycle,bk_mbd,0,case_2,True,True,0.07926769983912191,0.004409516386736367,67,81.9433336111425,2053.475456595421,5.706545450196315e-06,4.409671419125516e-06,0.0019864061367784753,0.5440242551689718,25.93623924255371
unicycle,bk_mbd,0,case_3,True,True,0.05358637838483957,0.1947148071149165,65,85.83143243136314,2098.549024581909,5.706545450196315e-06,4.409671419125516e-06,0.0019864061367784753,0.6430446397341214,21.80240249633789
unicycle,vanilla_mbd_true,0,case_0,True,True,0.07805299990243478,0.06135245390045618,79,71.99339620191368,3212.569174051285,nan,nan,nan,nan,nan
unicycle,dk_mbd,0,case_0,False,False,4.671755249462631,1.5304444172358274,180,36.21732889441773,319809.0138244629,0.007854289625986265,0.007408690173178911,0.08218002648035845,nan,nan
