method,num_trials,success_rate,strict_success_rate,final_error_mean,final_error_std,final_error_mean_success,planning_time_ms_mean,koopman_open_loop_error_mean,tube_cost_mean,max_tube
vanilla_mbd_true,35,1.0,1.0,0.022736550098304272,0.0015099399488058393,0.022736550098304272,4094.3561655597587,nan,nan,nan
dk_mbd,35,0.37142857142857144,0.2,0.05445130490011767,0.021786101099918513,0.03071123020134773,37.29106989587963,0.07093070771234126,nan,nan
dk_mbd_split,35,1.0,1.0,0.022988182122580463,0.0013600903213077172,0.022988182122580463,56.37178240689522,0.02839385042277444,nan,nan
bk_mbd,35,1.0,1.0,0.02275753072594781,0.001841172269238896,0.02275753072594781,63.7280239126545,0.055112881814324145,0.003421931500345792,17.27486995288304
