model=bilinear r=20 N=800 S=5 sigma=1.2->0.3 T=15 seeds=[3]
cells 15 x seeds 1 x targets 10 = 150 trials -> /home/home/mbd/koopman/mbd_koopman/exper/out/d_a_s3/trials.jsonl
  loaded phys_bilinear_r20_seed3.pt
[1/150] a=0.4    fixed0.3  s3 t0 err=0.0870 steps=120 N_eff= 793.7 -> miss
[58/150] a=0.1    fixed0.3  s3 t7 err=0.0165 steps= 89 N_eff= 763.5 -> STRICT
[59/150] a=0.1    fixed0.3  s3 t8 err=0.0172 steps= 71 N_eff= 762.9 -> STRICT
[60/150] a=0.1    fixed0.3  s3 t9 err=0.0065 steps=114 N_eff= 721.0 -> STRICT
[61/150] a=0.1    fixed0.5  s3 t0 err=0.0084 steps= 20 N_eff= 604.8 -> STRICT
[62/150] a=0.1    fixed0.5  s3 t1 err=0.0123 steps= 29 N_eff= 600.1 -> STRICT
[63/150] a=0.1    fixed0.5  s3 t2 err=0.0079 steps= 19 N_eff= 558.2 -> STRICT
[64/150] a=0.1    fixed0.5  s3 t3 err=0.0063 steps= 74 N_eff= 636.9 -> STRICT
[65/150] a=0.1    fixed0.5  s3 t4 err=0.0081 steps= 10 N_eff= 643.3 -> STRICT
[66/150] a=0.1    fixed0.5  s3 t5 err=0.0077 steps= 30 N_eff= 733.0 -> STRICT
[67/150] a=0.1    fixed0.5  s3 t6 err=0.0197 steps= 15 N_eff= 583.6 -> STRICT
[68/150] a=0.1    fixed0.5  s3 t7 err=0.0051 steps=  9 N_eff= 654.1 -> STRICT
[69/150] a=0.1    fixed0.5  s3 t8 err=0.0080 steps= 54 N_eff= 654.1 -> STRICT
[70/150] a=0.1    fixed0.5  s3 t9 err=0.0104 steps= 40 N_eff= 561.9 -> STRICT
[71/150] a=0.1    fixed0.8  s3 t0 err=0.0113 steps= 20 N_eff= 409.9 -> STRICT
[72/150] a=0.1    fixed0.8  s3 t1 err=0.0047 steps= 16 N_eff= 397.8 -> STRICT
[73/150] a=0.1    fixed0.8  s3 t2 err=0.0119 steps= 19 N_eff= 352.5 -> STRICT
[74/150] a=0.1    fixed0.8  s3 t3 err=0.0088 steps= 20 N_eff= 454.0 -> STRICT
[75/150] a=0.1    fixed0.8  s3 t4 err=0.0136 steps= 11 N_eff= 459.4 -> STRICT
[76/150] a=0.1    fixed0.8  s3 t5 err=0.0053 steps= 34 N_eff= 600.7 -> STRICT
[77/150] a=0.1    fixed0.8  s3 t6 err=0.0100 steps= 18 N_eff= 381.5 -> STRICT
[78/150] a=0.1    fixed0.8  s3 t7 err=0.0057 steps= 10 N_eff= 470.8 -> STRICT
[79/150] a=0.1    fixed0.8  s3 t8 err=0.0032 steps= 23 N_eff= 474.6 -> STRICT
[80/150] a=0.1    fixed0.8  s3 t9 err=0.0086 steps= 25 N_eff= 360.5 -> STRICT
[81/150] a=0.1    fixed1.2  s3 t0 err=0.0100 steps= 21 N_eff= 278.7 -> STRICT
[82/150] a=0.1    fixed1.2  s3 t1 err=0.0064 steps= 31 N_eff= 266.9 -> STRICT
[83/150] a=0.1    fixed1.2  s3 t2 err=0.0121 steps= 31 N_eff= 228.0 -> STRICT
[84/150] a=0.1    fixed1.2  s3 t3 err=0.0089 steps= 13 N_eff= 319.9 -> STRICT
[85/150] a=0.1    fixed1.2  s3 t4 err=0.0093 steps= 12 N_eff= 317.7 -> STRICT
[86/150] a=0.1    fixed1.2  s3 t5 err=0.0043 steps= 34 N_eff= 471.7 -> STRICT
[87/150] a=0.1    fixed1.2  s3 t6 err=0.0078 steps= 25 N_eff= 251.8 -> STRICT
[88/150] a=0.1    fixed1.2  s3 t7 err=0.0088 steps= 13 N_eff= 332.6 -> STRICT
[89/150] a=0.1    fixed1.2  s3 t8 err=0.0064 steps= 32 N_eff= 341.3 -> STRICT
[90/150] a=0.1    fixed1.2  s3 t9 err=0.0087 steps= 42 N_eff= 233.4 -> STRICT
[91/150] a=0.1    anneal    s3 t0 err=0.0099 steps= 20 N_eff= 746.3 -> STRICT
[92/150] a=0.1    anneal    s3 t1 err=0.0091 steps= 17 N_eff= 745.2 -> STRICT
[93/150] a=0.1    anneal    s3 t2 err=0.0107 steps= 23 N_eff= 726.8 -> STRICT
[94/150] a=0.1    anneal    s3 t3 err=0.0098 steps= 12 N_eff= 759.1 -> STRICT
[95/150] a=0.1    anneal    s3 t4 err=0.0112 steps= 11 N_eff= 760.7 -> STRICT
[96/150] a=0.1    anneal    s3 t5 err=0.0073 steps= 33 N_eff= 786.9 -> STRICT
[97/150] a=0.1    anneal    s3 t6 err=0.0091 steps= 22 N_eff= 737.6 -> STRICT
[98/150] a=0.1    anneal    s3 t7 err=0.0024 steps=  9 N_eff= 763.7 -> STRICT
[99/150] a=0.1    anneal    s3 t8 err=0.0090 steps= 23 N_eff= 763.7 -> STRICT
[100/150] a=0.1    anneal    s3 t9 err=0.0091 steps= 26 N_eff= 728.7 -> STRICT
[101/150] a=0.025  fixed0.3  s3 t0 err=0.0140 steps=120 N_eff= 517.1 -> miss
[102/150] a=0.025  fixed0.3  s3 t1 err=0.0105 steps= 16 N_eff= 512.6 -> STRICT
[103/150] a=0.025  fixed0.3  s3 t2 err=0.0126 steps= 15 N_eff= 463.7 -> STRICT
[104/150] a=0.025  fixed0.3  s3 t3 err=0.0129 steps=120 N_eff= 557.9 -> miss
[105/150] a=0.025  fixed0.3  s3 t4 err=0.0065 steps= 16 N_eff= 558.1 -> STRICT
[106/150] a=0.025  fixed0.3  s3 t5 err=0.0107 steps= 49 N_eff= 688.1 -> STRICT
[107/150] a=0.025  fixed0.3  s3 t6 err=0.0173 steps= 11 N_eff= 490.2 -> STRICT
[108/150] a=0.025  fixed0.3  s3 t7 err=0.0077 steps= 13 N_eff= 573.8 -> STRICT
[109/150] a=0.025  fixed0.3  s3 t8 err=0.0141 steps=104 N_eff= 574.4 -> STRICT
[110/150] a=0.025  fixed0.3  s3 t9 err=0.0058 steps= 13 N_eff= 466.9 -> STRICT
[111/150] a=0.025  fixed0.5  s3 t0 err=0.0113 steps= 13 N_eff= 256.6 -> STRICT
[112/150] a=0.025  fixed0.5  s3 t1 err=0.0052 steps= 13 N_eff= 246.5 -> STRICT
[113/150] a=0.025  fixed0.5  s3 t2 err=0.0098 steps= 13 N_eff= 210.3 -> STRICT
[114/150] a=0.025  fixed0.5  s3 t3 err=0.0097 steps= 43 N_eff= 294.0 -> STRICT
[115/150] a=0.025  fixed0.5  s3 t4 err=0.0089 steps= 13 N_eff= 298.0 -> STRICT
[116/150] a=0.025  fixed0.5  s3 t5 err=0.0052 steps= 29 N_eff= 443.5 -> STRICT
[117/150] a=0.025  fixed0.5  s3 t6 err=0.0097 steps= 11 N_eff= 232.5 -> STRICT
[118/150] a=0.025  fixed0.5  s3 t7 err=0.0064 steps=  7 N_eff= 310.9 -> STRICT
[119/150] a=0.025  fixed0.5  s3 t8 err=0.0051 steps= 13 N_eff= 312.4 -> STRICT
[120/150] a=0.025  fixed0.5  s3 t9 err=0.0069 steps= 17 N_eff= 217.0 -> STRICT
[121/150] a=0.025  fixed0.8  s3 t0 err=0.0128 steps= 12 N_eff=  93.3 -> STRICT
[122/150] a=0.025  fixed0.8  s3 t1 err=0.0031 steps= 12 N_eff=  83.9 -> STRICT
[123/150] a=0.025  fixed0.8  s3 t2 err=0.0033 steps= 14 N_eff=  68.6 -> STRICT
[124/150] a=0.025  fixed0.8  s3 t3 err=0.0091 steps= 43 N_eff= 111.7 -> STRICT
[125/150] a=0.025  fixed0.8  s3 t4 err=0.0102 steps= 12 N_eff= 112.2 -> STRICT
[126/150] a=0.025  fixed0.8  s3 t5 err=0.0043 steps= 26 N_eff= 195.6 -> STRICT
[127/150] a=0.025  fixed0.8  s3 t6 err=0.0088 steps= 11 N_eff=  77.1 -> STRICT
[128/150] a=0.025  fixed0.8  s3 t7 err=0.0066 steps=  8 N_eff= 117.0 -> STRICT
